frame,x,y,visible
0,1102.5,589.0,1
1,1103.2,589.1,1
2,1103.2,589.1,1
3,1102.8,589.2,1
4,1102.6,588.8,1
5,1102.7,588.7,1
6,1102.5,588.6,1
7,1102.2,588.4,1
8,1102.1,588.5,1
9,1102.3,588.5,1
10,1102.5,588.6,1
11,1102.5,588.6,1
12,1102.4,588.6,1
13,1102.7,588.8,1
14,-1.0,-1.0,0
15,1101.5,588.2,1
16,1101.7,588.3,1
17,1101.4,588.6,1
18,1101.5,588.4,1
19,1100.6,588.1,1
20,1100.7,588.1,1
21,1100.6,588.0,1
22,1101.4,588.3,1
23,1101.4,588.3,1
24,1101.5,588.3,1
25,1101.5,588.3,1
26,1101.2,588.6,1
27,1101.2,588.3,1
28,1101.4,588.4,1
29,1102.7,588.6,1
30,1102.7,588.5,1
31,1102.0,588.2,1
32,1101.9,588.2,1
33,1102.3,588.4,1
34,1102.5,588.5,1
35,1102.5,588.5,1
36,1102.5,588.4,1
37,1102.3,588.3,1
38,1102.3,588.4,1
39,1102.3,588.4,1
40,1102.8,588.6,1
41,1102.6,588.9,1
42,1102.3,588.6,1
43,1102.1,588.4,1
44,1102.1,588.4,1
45,1102.5,588.5,1
46,1102.5,588.4,1
47,1102.4,588.4,1
48,1102.6,588.7,1
49,1102.1,588.4,1
50,1102.3,588.3,1
51,1101.8,588.2,1
52,1102.0,588.2,1
53,1102.0,588.2,1
54,1102.2,588.3,1
55,1102.3,588.4,1
56,1102.2,588.4,1
57,1102.4,588.6,1
58,1102.3,588.5,1
59,1102.4,588.5,1
60,1102.1,588.4,1
61,1102.1,588.3,1
62,1102.0,588.2,1
63,1102.5,588.5,1
64,1102.5,588.5,1
65,1102.5,588.4,1
66,1102.5,588.4,1
67,1102.3,588.4,1
68,1102.3,588.4,1
69,1102.0,587.9,1
70,1102.0,587.9,1
71,1102.1,587.9,1
72,1102.3,588.2,1
73,1102.1,588.1,1
74,1101.9,588.0,1
75,1102.1,587.9,1
76,1101.8,587.9,1
77,1102.0,588.1,1
78,1101.9,588.0,1
79,1102.3,588.1,1
80,1102.3,588.1,1
81,1103.3,588.4,1
82,1102.5,588.3,1
83,1102.4,588.0,1
84,1102.5,588.0,1
85,1102.6,587.9,1
86,1102.6,587.9,1
87,1102.7,587.9,1
88,1102.8,587.9,1
89,1102.9,587.9,1
90,1103.2,587.8,1
91,1103.2,587.8,1
92,-1.0,-1.0,0
93,-1.0,-1.0,0
94,-1.0,-1.0,0
95,-1.0,-1.0,0
96,-1.0,-1.0,0
97,-1.0,-1.0,0
98,-1.0,-1.0,0
99,-1.0,-1.0,0
100,-1.0,-1.0,0
101,1102.2,587.9,1
102,1102.2,588.0,1
103,1102.3,588.0,1
104,1102.6,588.4,1
105,1102.2,588.1,1
106,1102.1,587.9,1
107,1102.4,588.0,1
108,1102.3,587.7,1
109,1102.3,587.6,1
110,1102.4,587.8,1
111,1102.5,587.7,1
112,1102.5,587.8,1
113,1101.8,587.8,1
114,1101.7,587.9,1
115,1101.9,588.1,1
116,1101.8,588.1,1
117,1101.9,588.1,1
118,1102.1,587.9,1
119,1102.1,587.9,1
120,1101.9,587.9,1
121,1102.1,587.9,1
122,1102.1,587.8,1
123,1102.1,587.9,1
124,1102.7,588.1,1
125,1102.5,588.1,1
126,1102.5,588.1,1
127,1101.9,588.1,1
128,1101.8,588.1,1
129,1101.6,587.9,1
130,1101.6,587.9,1
131,1102.1,588.5,1
132,1102.1,588.4,1
133,1102.0,587.8,1
134,1102.0,587.8,1
135,1102.0,587.8,1
136,-1.0,-1.0,0
137,-1.0,-1.0,0
138,1101.7,588.6,1
139,1101.7,588.6,1
140,1101.7,588.6,1
141,1101.2,587.9,1
142,1101.2,587.9,1
143,1101.3,587.9,1
144,1101.2,587.9,1
145,1101.1,587.8,1
146,1101.2,587.8,1
147,1100.7,588.0,1
148,1100.7,588.0,1
149,1100.7,588.0,1
150,1101.0,588.2,1
151,1100.6,588.3,1
152,1100.2,588.2,1
153,1100.3,588.3,1
154,1099.6,587.5,1
155,1099.7,587.5,1
156,1099.7,587.3,1
157,1099.7,587.4,1
158,1099.8,587.3,1
159,1100.7,588.1,1
160,1100.6,588.0,1
161,1100.7,587.6,1
162,1100.8,587.8,1
163,1100.7,587.8,1
164,1098.3,587.8,1
165,1098.4,587.8,1
166,1098.3,587.9,1
167,1098.3,587.9,1
168,1098.4,588.6,1
169,1098.3,588.4,1
170,-1.0,-1.0,0
171,-1.0,-1.0,0
172,1094.8,588.1,1
173,1094.8,588.1,1
174,1092.0,590.2,1
175,1092.0,590.1,1
176,1091.0,589.2,1
177,1091.1,589.2,1
178,1091.0,589.2,1
179,1093.6,588.4,1
180,-1.0,-1.0,0
181,-1.0,-1.0,0
182,-1.0,-1.0,0
183,-1.0,-1.0,0
184,-1.0,-1.0,0
185,-1.0,-1.0,0
186,1101.3,587.3,1
187,1101.2,587.3,1
188,-1.0,-1.0,0
189,-1.0,-1.0,0
190,-1.0,-1.0,0
191,-1.0,-1.0,0
192,-1.0,-1.0,0
193,1099.7,587.6,1
194,1099.7,587.6,1
195,1099.7,587.6,1
196,-1.0,-1.0,0
197,-1.0,-1.0,0
198,-1.0,-1.0,0
199,-1.0,-1.0,0
200,-1.0,-1.0,0
201,-1.0,-1.0,0
202,-1.0,-1.0,0
203,-1.0,-1.0,0
204,-1.0,-1.0,0
205,-1.0,-1.0,0
206,-1.0,-1.0,0
207,-1.0,-1.0,0
208,-1.0,-1.0,0
209,-1.0,-1.0,0
210,-1.0,-1.0,0
211,-1.0,-1.0,0
212,1101.6,588.2,1
213,1101.6,588.2,1
214,1101.7,588.4,1
215,1101.6,588.4,1
216,1101.7,588.4,1
217,1101.6,587.9,1
218,1101.6,587.4,1
219,1101.6,587.4,1
220,-1.0,-1.0,0
221,1100.9,587.4,1
222,1100.8,587.3,1
223,-1.0,-1.0,0
224,-1.0,-1.0,0
225,-1.0,-1.0,0
226,-1.0,-1.0,0
227,-1.0,-1.0,0
228,-1.0,-1.0,0
229,-1.0,-1.0,0
230,-1.0,-1.0,0
231,-1.0,-1.0,0
232,-1.0,-1.0,0
233,-1.0,-1.0,0
234,-1.0,-1.0,0
235,-1.0,-1.0,0
236,-1.0,-1.0,0
237,-1.0,-1.0,0
238,-1.0,-1.0,0
239,-1.0,-1.0,0
240,-1.0,-1.0,0
241,-1.0,-1.0,0
242,-1.0,-1.0,0
243,-1.0,-1.0,0
244,-1.0,-1.0,0
245,-1.0,-1.0,0
246,-1.0,-1.0,0
247,-1.0,-1.0,0
248,-1.0,-1.0,0
249,-1.0,-1.0,0
250,-1.0,-1.0,0
251,-1.0,-1.0,0
252,-1.0,-1.0,0
253,-1.0,-1.0,0
254,-1.0,-1.0,0
255,-1.0,-1.0,0
256,-1.0,-1.0,0
257,-1.0,-1.0,0
258,-1.0,-1.0,0
259,-1.0,-1.0,0
260,-1.0,-1.0,0
261,-1.0,-1.0,0
